Gender,Age,City,Working Professional or Student,Profession,Work Pressure,Job Satisfaction,Sleep Duration,Dietary Habits,Degree,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Family History of Mental Illness,Depression
Female,23.0,Patna,Working Professional,Marketing Manager,2.0,2.0,5-6 hours,Healthy,MA,Yes,6.0,4.0,Yes,1
Female,49.0,Lucknow,Working Professional,Teacher,5.0,3.0,More than 8 hours,Healthy,B.Ed,No,2.0,1.0,No,0
Female,56.0,Meerut,Working Professional,Accountant,5.0,3.0,7-8 hours,Moderate,B.Com,No,0.0,5.0,Yes,0
Male,50.0,Agra,Working Professional,Entrepreneur,5.0,2.0,7-8 hours,Moderate,BBA,No,3.0,2.0,Yes,0
Male,45.0,Rajkot,Working Professional,Teacher,2.0,4.0,5-6 hours,Moderate,MBA,Yes,2.0,3.0,No,0
Female,37.0,Surat,Working Professional,Teacher,3.0,1.0,7-8 hours,Healthy,B.Ed,No,5.0,2.0,Yes,0
Female,45.0,Faridabad,Working Professional,HR Manager,3.0,1.0,7-8 hours,Unhealthy,MA,Yes,6.0,4.0,Yes,0
Male,37.0,Meerut,Working Professional,Teacher,5.0,5.0,5-6 hours,Healthy,B.Arch,No,9.0,2.0,Yes,0
Female,46.0,Hyderabad,Working Professional,UX/UI Designer,2.0,3.0,5-6 hours,Healthy,BCA,No,7.0,5.0,No,0
Male,39.0,Pune,Working Professional,Content Writer,5.0,2.0,More than 8 hours,Healthy,M.Com,Yes,7.0,2.0,Yes,0
Male,38.0,Thane,Working Professional,Chef,2.0,1.0,More than 8 hours,Healthy,MHM,Yes,2.0,2.0,No,0
Male,31.0,Srinagar,Student,,,,Less than 5 hours,Healthy,BA,No,9.0,1.0,Yes,0
Male,50.0,Ghaziabad,Working Professional,HR Manager,5.0,3.0,Less than 5 hours,Healthy,MA,Yes,12.0,5.0,Yes,1
Female,47.0,Kolkata,Working Professional,Entrepreneur,3.0,5.0,7-8 hours,Moderate,B.Sc,No,5.0,1.0,No,0
Female,19.0,Agra,Working Professional,,1.0,5.0,More than 8 hours,Healthy,Class 12,No,5.0,2.0,No,0
Female,28.0,Varanasi,Student,,,,7-8 hours,Moderate,BCA,Yes,4.0,5.0,Yes,1
Female,37.0,Pune,Working Professional,Chef,2.0,1.0,7-8 hours,Unhealthy,BHM,No,5.0,3.0,Yes,0
Female,25.0,Jaipur,Student,,,,5-6 hours,Moderate,M.Tech,Yes,1.0,1.0,No,0
Male,29.0,Pune,Student,,,,Less than 5 hours,Healthy,PhD,No,4.0,1.0,No,0
Male,41.0,Chennai,Working Professional,Teacher,1.0,4.0,7-8 hours,Unhealthy,LLB,Yes,6.0,5.0,No,0
Male,45.0,Rajkot,Working Professional,Chemist,1.0,4.0,7-8 hours,Moderate,B.Pharm,Yes,9.0,1.0,Yes,0
Female,50.0,Kalyan,Working Professional,,4.0,4.0,7-8 hours,Unhealthy,Class 12,No,0.0,2.0,No,0
Male,51.0,Nagpur,Working Professional,Educational Consultant,1.0,5.0,7-8 hours,Unhealthy,B.Ed,Yes,0.0,4.0,No,0
Male,45.0,Mumbai,Working Professional,Civil Engineer,3.0,2.0,Less than 5 hours,Healthy,MCA,No,9.0,5.0,No,0
Male,59.0,Jaipur,Working Professional,Manager,4.0,1.0,Less than 5 hours,Unhealthy,BHM,Yes,2.0,4.0,No,0
Male,51.0,Nashik,Working Professional,Electrician,2.0,4.0,7-8 hours,Healthy,M.Tech,No,1.0,2.0,Yes,0
Female,47.0,Ludhiana,Working Professional,Pharmacist,4.0,1.0,Less than 5 hours,Healthy,B.Pharm,Yes,9.0,2.0,Yes,0
Male,60.0,Ludhiana,Working Professional,Manager,4.0,1.0,5-6 hours,Moderate,MHM,Yes,3.0,2.0,No,0
Female,18.0,Vadodara,Working Professional,,5.0,4.0,Less than 5 hours,Moderate,Class 12,Yes,10.0,5.0,No,1
Male,55.0,Jaipur,Working Professional,Civil Engineer,1.0,1.0,7-8 hours,Unhealthy,BBA,Yes,0.0,2.0,No,0
Male,36.0,Ludhiana,Working Professional,Marketing Manager,1.0,2.0,7-8 hours,Healthy,BA,Yes,0.0,2.0,Yes,0
Male,49.0,Meerut,Working Professional,Teacher,2.0,1.0,7-8 hours,Moderate,M.Ed,Yes,0.0,1.0,Yes,0
Female,50.0,Nashik,Working Professional,Pharmacist,1.0,3.0,7-8 hours,Unhealthy,MA,Yes,10.0,2.0,Yes,0
Male,38.0,Ghaziabad,Working Professional,,2.0,5.0,5-6 hours,Moderate,Class 12,No,1.0,1.0,Yes,0
Female,39.0,Vasai-Virar,Working Professional,Financial Analyst,2.0,2.0,7-8 hours,Moderate,B.Com,No,0.0,1.0,Yes,0
Male,21.0,Pune,Working Professional,,4.0,5.0,5-6 hours,Healthy,Class 12,Yes,8.0,5.0,Yes,0
Male,58.0,Kalyan,Working Professional,Architect,2.0,1.0,More than 8 hours,Unhealthy,B.Arch,Yes,4.0,1.0,Yes,0
Male,30.0,Thane,Student,,,,7-8 hours,Healthy,B.Sc,No,1.0,2.0,No,0
Female,44.0,Ludhiana,Working Professional,Teacher,5.0,2.0,7-8 hours,Unhealthy,B.Pharm,No,9.0,1.0,Yes,0
Male,31.0,Patna,Working Professional,Mechanical Engineer,2.0,5.0,Less than 5 hours,Healthy,PhD,No,0.0,3.0,Yes,0
Male,56.0,Kanpur,Working Professional,Plumber,2.0,3.0,Less than 5 hours,Moderate,MCA,No,10.0,3.0,No,0
Female,30.0,Chennai,Student,,,,Less than 5 hours,Unhealthy,Class 12,No,0.0,1.0,Yes,0
Male,47.0,Lucknow,Working Professional,Teacher,2.0,3.0,More than 8 hours,Healthy,MCA,Yes,12.0,4.0,No,0
Female,23.0,Agra,Working Professional,HR Manager,5.0,2.0,5-6 hours,Healthy,M.Sc,Yes,3.0,4.0,No,1
Male,28.0,Nagpur,Student,,,,7-8 hours,Moderate,B.Ed,Yes,12.0,3.0,No,1
Male,25.0,Hyderabad,Working Professional,Teacher,5.0,2.0,7-8 hours,Unhealthy,B.Arch,No,4.0,5.0,Yes,1
Male,43.0,Patna,Working Professional,Architect,4.0,1.0,Less than 5 hours,Healthy,B.Sc,No,0.0,3.0,No,0
Male,31.0,Nashik,Student,,,,Less than 5 hours,Moderate,LLB,Yes,2.0,5.0,No,1
Male,40.0,Ludhiana,Working Professional,Marketing Manager,3.0,3.0,Less than 5 hours,Unhealthy,BA,No,1.0,5.0,Yes,0
Female,28.0,Chennai,Working Professional,Electrician,3.0,2.0,5-6 hours,Moderate,BCA,No,9.0,1.0,Yes,0
Female,35.0,Rajkot,Working Professional,Mechanical Engineer,4.0,1.0,5-6 hours,Healthy,B.Sc,Yes,4.0,4.0,No,0
Male,54.0,Meerut,Working Professional,Chef,1.0,2.0,5-6 hours,Moderate,BHM,No,1.0,3.0,No,0
Male,50.0,Vasai-Virar,Working Professional,Customer Support,4.0,3.0,7-8 hours,Healthy,BA,No,7.0,4.0,No,0
Male,46.0,Ludhiana,Working Professional,Consultant,1.0,3.0,Less than 5 hours,Healthy,PhD,Yes,3.0,3.0,No,0
Female,51.0,Agra,Working Professional,Teacher,2.0,4.0,5-6 hours,Healthy,B.Ed,No,0.0,2.0,No,0
Male,18.0,Vasai-Virar,Working Professional,,5.0,2.0,Less than 5 hours,Moderate,Class 12,Yes,6.0,4.0,No,1
Female,38.0,Vadodara,Working Professional,Architect,4.0,2.0,7-8 hours,Healthy,MCA,Yes,11.0,5.0,Yes,0
Male,54.0,Vasai-Virar,Working Professional,Teacher,2.0,3.0,5-6 hours,Moderate,B.Arch,No,6.0,1.0,No,0
Male,44.0,Kolkata,Working Professional,Consultant,3.0,5.0,5-6 hours,Healthy,BBA,No,1.0,3.0,No,0
Male,41.0,Thane,Working Professional,Content Writer,1.0,2.0,5-6 hours,Unhealthy,M.Tech,Yes,6.0,2.0,Yes,0
Female,59.0,Agra,Working Professional,Marketing Manager,5.0,3.0,7-8 hours,Healthy,BA,Yes,5.0,4.0,Yes,0
Male,54.0,Delhi,Working Professional,Content Writer,4.0,2.0,7-8 hours,Unhealthy,B.Ed,No,12.0,5.0,Yes,0
Male,45.0,Rajkot,Working Professional,Architect,1.0,5.0,7-8 hours,Unhealthy,B.Arch,Yes,6.0,3.0,Yes,0
Male,46.0,Surat,Working Professional,Educational Consultant,2.0,2.0,7-8 hours,Moderate,B.Ed,No,10.0,1.0,Yes,0
Male,45.0,Bangalore,Working Professional,Teacher,2.0,4.0,7-8 hours,Unhealthy,B.Pharm,No,11.0,4.0,No,0
Male,21.0,Thane,Working Professional,,4.0,4.0,5-6 hours,Unhealthy,Class 12,No,1.0,2.0,No,0
Male,19.0,Nagpur,Working Professional,,5.0,4.0,Less than 5 hours,Moderate,Class 12,Yes,11.0,2.0,No,1
Female,49.0,Hyderabad,Working Professional,,1.0,5.0,5-6 hours,Moderate,Class 12,No,0.0,3.0,No,0
Male,24.0,Nagpur,Student,,,,5-6 hours,Moderate,Class 12,Yes,11.0,1.0,Yes,1
Female,47.0,Nagpur,Working Professional,Teacher,5.0,5.0,7-8 hours,Unhealthy,B.Sc,No,0.0,5.0,Yes,0
Male,51.0,Hyderabad,Working Professional,Judge,3.0,5.0,5-6 hours,Healthy,LLB,No,11.0,1.0,Yes,0
Female,30.0,Vadodara,Working Professional,Teacher,2.0,4.0,Less than 5 hours,Unhealthy,B.Arch,No,10.0,2.0,No,0
Male,54.0,Jaipur,Working Professional,Researcher,2.0,4.0,5-6 hours,Unhealthy,M.Tech,No,2.0,2.0,No,0
Female,60.0,Rajkot,Working Professional,UX/UI Designer,5.0,3.0,7-8 hours,Moderate,M.Sc,No,2.0,1.0,Yes,0
Male,45.0,Bangalore,Working Professional,Teacher,1.0,5.0,7-8 hours,Moderate,B.Arch,No,2.0,4.0,Yes,0
Male,24.0,Chennai,Working Professional,Teacher,4.0,3.0,5-6 hours,Healthy,B.Ed,Yes,8.0,4.0,Yes,0
Male,33.0,Vadodara,Student,,,,Less than 5 hours,Healthy,BE,Yes,10.0,2.0,Yes,0
Male,54.0,Nagpur,Working Professional,Content Writer,2.0,1.0,More than 8 hours,Unhealthy,B.Tech,No,3.0,1.0,No,0
Male,18.0,Thane,Working Professional,,4.0,2.0,7-8 hours,Unhealthy,Class 12,No,2.0,1.0,No,0
Male,27.0,Kalyan,Student,,,,Less than 5 hours,Moderate,M.Tech,No,10.0,1.0,Yes,1
Male,36.0,Rajkot,Working Professional,Teacher,2.0,5.0,More than 8 hours,Healthy,B.Ed,Yes,10.0,4.0,No,0
Male,31.0,Ludhiana,Working Professional,Teacher,4.0,3.0,5-6 hours,Unhealthy,B.Ed,Yes,4.0,2.0,No,0
Female,52.0,Chennai,Working Professional,Data Scientist,1.0,3.0,7-8 hours,Moderate,M.Tech,No,1.0,2.0,Yes,0
Female,56.0,Lucknow,Working Professional,Educational Consultant,2.0,2.0,Less than 5 hours,Healthy,B.Ed,No,9.0,2.0,No,0
Male,36.0,Thane,Working Professional,Teacher,1.0,2.0,Less than 5 hours,Healthy,B.Ed,Yes,10.0,3.0,Yes,0
Female,19.0,Rajkot,Student,,,,Less than 5 hours,Unhealthy,Class 12,No,6.0,2.0,Yes,0
Female,48.0,Ludhiana,Working Professional,,3.0,2.0,5-6 hours,Healthy,Class 12,Yes,8.0,4.0,Yes,1
Male,56.0,Rajkot,Working Professional,Teacher,3.0,3.0,7-8 hours,Moderate,B.Arch,No,7.0,3.0,No,0
Female,19.0,Kalyan,Student,,,,Less than 5 hours,Moderate,Class 12,Yes,4.0,5.0,Yes,1
Male,43.0,Meerut,Working Professional,Judge,4.0,2.0,7-8 hours,Healthy,LLM,No,7.0,3.0,No,0
Male,57.0,Chennai,Working Professional,Consultant,3.0,5.0,Less than 5 hours,Unhealthy,BE,No,2.0,3.0,No,0
Male,29.0,Srinagar,Student,,,,More than 8 hours,Moderate,M.Tech,Yes,10.0,2.0,Yes,1
Female,19.0,Srinagar,Working Professional,,5.0,5.0,7-8 hours,Healthy,Class 12,Yes,11.0,4.0,Yes,1
Male,50.0,Delhi,Working Professional,Researcher,2.0,1.0,Less than 5 hours,Unhealthy,B.Tech,Yes,1.0,2.0,Yes,0
Female,37.0,Kanpur,Working Professional,Electrician,1.0,4.0,5-6 hours,Moderate,BCA,No,9.0,5.0,No,0
Male,38.0,Kanpur,Working Professional,Teacher,4.0,1.0,5-6 hours,Unhealthy,B.Pharm,No,3.0,5.0,Yes,0
Female,37.0,Visakhapatnam,Working Professional,Architect,4.0,1.0,More than 8 hours,Moderate,M.Sc,No,12.0,3.0,No,0
Male,53.0,Delhi,Working Professional,HR Manager,4.0,4.0,5-6 hours,Healthy,MA,Yes,9.0,3.0,Yes,0
Male,34.0,Patna,Working Professional,Teacher,3.0,5.0,More than 8 hours,Moderate,B.Ed,Yes,10.0,3.0,No,0
Male,57.0,Kanpur,Working Professional,HR Manager,1.0,4.0,5-6 hours,Moderate,M.Tech,No,11.0,5.0,No,0
Male,55.0,Patna,Working Professional,Content Writer,1.0,4.0,Less than 5 hours,Healthy,BE,No,9.0,1.0,No,0
Male,53.0,Kolkata,Working Professional,Judge,4.0,5.0,Less than 5 hours,Unhealthy,LLB,No,0.0,4.0,Yes,0
Female,24.0,Bangalore,Working Professional,Teacher,1.0,1.0,5-6 hours,Unhealthy,MBBS,No,8.0,3.0,No,0
Female,59.0,Agra,Working Professional,Entrepreneur,2.0,3.0,More than 8 hours,Healthy,B.Sc,Yes,10.0,2.0,No,0
Female,51.0,Meerut,Working Professional,Marketing Manager,2.0,5.0,7-8 hours,Healthy,BA,No,9.0,3.0,No,0
Male,25.0,Nashik,Student,,,,Less than 5 hours,Unhealthy,M.Ed,Yes,2.0,5.0,Yes,1
Female,18.0,Hyderabad,Working Professional,,5.0,4.0,7-8 hours,Unhealthy,Class 12,Yes,7.0,2.0,Yes,1
Female,19.0,Ludhiana,Working Professional,,2.0,1.0,5-6 hours,Healthy,Class 12,Yes,3.0,1.0,Yes,0
Male,47.0,Kanpur,Working Professional,Teacher,4.0,5.0,Less than 5 hours,Unhealthy,M.Pharm,Yes,6.0,4.0,Yes,0
Male,44.0,Pune,Working Professional,Teacher,2.0,1.0,7-8 hours,Healthy,B.Tech,Yes,1.0,3.0,No,0
Female,50.0,Bangalore,Working Professional,Content Writer,4.0,5.0,Less than 5 hours,Moderate,BE,No,4.0,3.0,No,0
Female,29.0,Vasai-Virar,Working Professional,Marketing Manager,5.0,5.0,More than 8 hours,Healthy,B.Com,No,12.0,1.0,Yes,0
Male,59.0,Mumbai,Working Professional,,1.0,5.0,Less than 5 hours,Healthy,Class 12,Yes,5.0,1.0,No,0
Female,57.0,Pune,Working Professional,Consultant,2.0,3.0,7-8 hours,Healthy,B.Com,Yes,9.0,3.0,No,0
Male,45.0,Kanpur,Working Professional,,4.0,3.0,5-6 hours,Healthy,Class 12,Yes,2.0,4.0,No,0
Female,51.0,Vadodara,Working Professional,Teacher,2.0,5.0,More than 8 hours,Moderate,B.Arch,No,11.0,1.0,No,0
Female,57.0,Mumbai,Working Professional,Entrepreneur,1.0,5.0,7-8 hours,Unhealthy,B.Sc,Yes,8.0,2.0,No,0
Female,20.0,Ahmedabad,Student,,,,5-6 hours,Healthy,Class 12,Yes,10.0,3.0,No,1
Male,50.0,Vasai-Virar,Working Professional,Manager,5.0,5.0,Less than 5 hours,Healthy,MHM,No,12.0,1.0,No,0
Male,54.0,Thane,Working Professional,Financial Analyst,3.0,5.0,7-8 hours,Moderate,B.Tech,No,10.0,2.0,No,0
Male,54.0,Jaipur,Working Professional,Pilot,3.0,5.0,7-8 hours,Healthy,B.Tech,No,7.0,4.0,No,0
Female,52.0,Kolkata,Working Professional,,3.0,4.0,5-6 hours,Moderate,Class 12,Yes,4.0,4.0,No,0
Male,29.0,Kanpur,Working Professional,Business Analyst,5.0,1.0,5-6 hours,Unhealthy,BE,Yes,4.0,3.0,Yes,1
Male,25.0,Nashik,Working Professional,Graphic Designer,2.0,2.0,5-6 hours,Moderate,B.Tech,No,6.0,5.0,No,1
Male,19.0,Chennai,Student,,,,7-8 hours,Unhealthy,Class 12,No,6.0,3.0,No,0
Female,36.0,Ahmedabad,Working Professional,Teacher,5.0,2.0,More than 8 hours,Moderate,BA,No,1.0,2.0,Yes,0
Female,60.0,Bhopal,Working Professional,Travel Consultant,2.0,2.0,7-8 hours,Moderate,MHM,No,12.0,2.0,Yes,0
Male,53.0,Patna,Working Professional,Business Analyst,3.0,4.0,Less than 5 hours,Unhealthy,M.Tech,No,4.0,1.0,No,0
Female,46.0,Vadodara,Working Professional,Teacher,4.0,1.0,Less than 5 hours,Healthy,B.Arch,Yes,1.0,5.0,No,0
Male,28.0,Lucknow,Working Professional,Digital Marketer,2.0,5.0,Less than 5 hours,Unhealthy,B.Com,Yes,0.0,1.0,No,1
Male,25.0,Kalyan,Student,,,,5-6 hours,Moderate,B.Ed,No,8.0,3.0,Yes,1
Male,34.0,Agra,Working Professional,Teacher,3.0,5.0,More than 8 hours,Healthy,LLB,No,11.0,3.0,No,0
Male,51.0,Kanpur,Working Professional,Manager,4.0,3.0,7-8 hours,Healthy,MHM,No,1.0,2.0,No,0
Female,43.0,Pune,Working Professional,Content Writer,5.0,4.0,Less than 5 hours,Unhealthy,B.Ed,No,7.0,2.0,No,0
Male,46.0,Pune,Working Professional,Content Writer,2.0,4.0,7-8 hours,Healthy,M.Ed,No,11.0,3.0,No,0
Male,48.0,Varanasi,Working Professional,Content Writer,4.0,2.0,5-6 hours,Healthy,B.Ed,Yes,6.0,1.0,Yes,0
Female,42.0,Vasai-Virar,Working Professional,Financial Analyst,5.0,1.0,5-6 hours,Healthy,BCA,Yes,8.0,1.0,Yes,0
Male,60.0,Varanasi,Working Professional,Travel Consultant,1.0,5.0,7-8 hours,Moderate,MHM,No,0.0,2.0,No,0
Male,22.0,Surat,Working Professional,Teacher,5.0,1.0,7-8 hours,Healthy,BCA,No,11.0,1.0,Yes,1
Female,43.0,Delhi,Working Professional,Content Writer,3.0,5.0,7-8 hours,Unhealthy,M.Tech,Yes,12.0,2.0,Yes,0
Male,43.0,Lucknow,Working Professional,Lawyer,5.0,1.0,5-6 hours,Healthy,LLM,No,10.0,4.0,No,0
Male,55.0,Ghaziabad,Working Professional,Customer Support,4.0,2.0,More than 8 hours,Unhealthy,BA,No,11.0,2.0,Yes,0
Male,23.0,Rajkot,Working Professional,Architect,3.0,2.0,7-8 hours,Moderate,B.Arch,No,5.0,1.0,No,0
Male,56.0,Pune,Working Professional,Civil Engineer,2.0,3.0,5-6 hours,Healthy,M.Tech,Yes,12.0,4.0,Yes,0
Female,45.0,Ludhiana,Working Professional,Teacher,2.0,5.0,More than 8 hours,Healthy,B.Arch,Yes,6.0,4.0,Yes,0
Male,46.0,Jaipur,Working Professional,Civil Engineer,3.0,1.0,7-8 hours,Healthy,M.Tech,No,10.0,3.0,No,0
Male,29.0,Kolkata,Student,,,,5-6 hours,Moderate,B.Ed,Yes,1.0,1.0,No,0
Male,29.0,Kolkata,Student,,,,7-8 hours,Moderate,M.Tech,No,0.0,1.0,No,0
Male,49.0,Delhi,Working Professional,Pharmacist,2.0,2.0,More than 8 hours,Moderate,B.Pharm,Yes,11.0,5.0,No,0
Male,38.0,Pune,Working Professional,Chef,4.0,4.0,7-8 hours,Healthy,BHM,No,7.0,5.0,No,0
Male,22.0,Chennai,Working Professional,Content Writer,2.0,5.0,5-6 hours,Moderate,BCA,Yes,9.0,2.0,Yes,0
Female,25.0,Ahmedabad,Student,,,,More than 8 hours,Unhealthy,M.Sc,Yes,10.0,5.0,No,1
Male,38.0,Visakhapatnam,Working Professional,Chemist,4.0,5.0,7-8 hours,Moderate,B.Pharm,No,10.0,5.0,Yes,0
Female,38.0,Faridabad,Working Professional,Consultant,4.0,4.0,7-8 hours,Unhealthy,MCA,No,9.0,5.0,Yes,0
Female,42.0,Kalyan,Working Professional,Financial Analyst,5.0,1.0,More than 8 hours,Healthy,M.Sc,Yes,1.0,5.0,No,0
Male,36.0,Delhi,Working Professional,Content Writer,2.0,2.0,5-6 hours,Moderate,M.Ed,Yes,4.0,4.0,Yes,0
Female,35.0,Chennai,Working Professional,Lawyer,4.0,1.0,5-6 hours,Moderate,LLB,No,10.0,1.0,Yes,0
Male,23.0,Thane,Student,,,,7-8 hours,Healthy,BHM,No,11.0,3.0,No,0
Male,18.0,Bangalore,Student,,,,More than 8 hours,Unhealthy,Class 12,Yes,11.0,5.0,Yes,1
Male,18.0,Chennai,Working Professional,,5.0,3.0,Less than 5 hours,Unhealthy,Class 12,No,3.0,5.0,No,1
Female,28.0,Ludhiana,Working Professional,Educational Consultant,2.0,5.0,5-6 hours,Healthy,B.Ed,Yes,9.0,5.0,Yes,0
Female,20.0,Mumbai,Student,,,,7-8 hours,Moderate,Class 12,No,2.0,2.0,Yes,1
Female,47.0,Nagpur,Working Professional,HR Manager,4.0,3.0,5-6 hours,Healthy,BA,Yes,3.0,2.0,Yes,0
Female,46.0,Chennai,Working Professional,Mechanical Engineer,4.0,4.0,Less than 5 hours,Healthy,B.Sc,Yes,0.0,1.0,No,0
Male,31.0,Rajkot,Working Professional,Financial Analyst,5.0,2.0,Less than 5 hours,Moderate,PhD,Yes,3.0,2.0,Yes,0
Female,40.0,Mumbai,Working Professional,Chef,3.0,4.0,7-8 hours,Moderate,BHM,Yes,11.0,5.0,Yes,1
Male,50.0,Kolkata,Working Professional,Customer Support,2.0,5.0,7-8 hours,Healthy,BA,Yes,2.0,4.0,No,0
Male,56.0,Ahmedabad,Working Professional,Pharmacist,2.0,5.0,Less than 5 hours,Unhealthy,MBBS,No,4.0,5.0,Yes,0
Male,57.0,Visakhapatnam,Working Professional,Manager,4.0,2.0,5-6 hours,Unhealthy,MHM,Yes,9.0,4.0,Yes,0
Female,49.0,Nashik,Working Professional,Entrepreneur,2.0,5.0,More than 8 hours,Unhealthy,B.Tech,No,1.0,4.0,Yes,0
Male,55.0,Hyderabad,Working Professional,Content Writer,2.0,2.0,Less than 5 hours,Unhealthy,B.Ed,No,11.0,3.0,No,0
Male,31.0,Ahmedabad,Student,,,,7-8 hours,Moderate,LLB,Yes,3.0,3.0,Yes,1
Female,39.0,Ludhiana,Working Professional,Data Scientist,4.0,3.0,5-6 hours,Unhealthy,MCA,No,5.0,5.0,No,0
Male,50.0,Patna,Working Professional,Teacher,1.0,3.0,Less than 5 hours,Moderate,B.Ed,Yes,0.0,2.0,No,0
Male,59.0,Indore,Working Professional,Chemist,5.0,4.0,More than 8 hours,Moderate,M.Pharm,No,10.0,4.0,Yes,0
Female,39.0,Lucknow,Working Professional,Chef,1.0,5.0,Less than 5 hours,Unhealthy,MHM,Yes,4.0,5.0,Yes,0
Male,54.0,Kolkata,Working Professional,Lawyer,1.0,3.0,Less than 5 hours,Unhealthy,LLB,Yes,2.0,1.0,Yes,0
Male,29.0,Vasai-Virar,Working Professional,Judge,2.0,3.0,More than 8 hours,Moderate,LLB,Yes,8.0,1.0,Yes,0
Male,25.0,Lucknow,Student,,,,More than 8 hours,Unhealthy,M.Ed,Yes,10.0,5.0,No,1
Female,54.0,Kolkata,Working Professional,Teacher,2.0,2.0,5-6 hours,Moderate,B.Ed,No,6.0,4.0,Yes,0
Male,38.0,Mumbai,Working Professional,Teacher,1.0,2.0,7-8 hours,Healthy,BA,No,2.0,4.0,No,0
Female,33.0,Srinagar,Working Professional,Teacher,3.0,4.0,7-8 hours,Healthy,B.Ed,Yes,11.0,5.0,No,0
Male,46.0,Nashik,Working Professional,Financial Analyst,2.0,1.0,More than 8 hours,Healthy,M.Com,No,10.0,3.0,Yes,0
Male,37.0,Jaipur,Working Professional,Teacher,3.0,4.0,More than 8 hours,Moderate,M.Pharm,Yes,2.0,3.0,Yes,0
Male,43.0,Patna,Working Professional,Teacher,1.0,4.0,More than 8 hours,Moderate,B.Ed,Yes,4.0,5.0,Yes,0
Female,60.0,Kalyan,Working Professional,Research Analyst,5.0,2.0,5-6 hours,Healthy,MBA,No,3.0,2.0,No,0
Male,48.0,Indore,Working Professional,Sales Executive,1.0,1.0,7-8 hours,Moderate,M.Com,Yes,12.0,5.0,Yes,0
Male,43.0,Meerut,Working Professional,Customer Support,5.0,3.0,5-6 hours,Healthy,B.Com,No,12.0,1.0,Yes,0
Male,49.0,Bangalore,Working Professional,Chemist,2.0,2.0,Less than 5 hours,Moderate,M.Pharm,Yes,6.0,1.0,No,0
Female,45.0,Vadodara,Working Professional,Teacher,4.0,2.0,More than 8 hours,Healthy,B.Arch,No,2.0,4.0,Yes,0
Male,19.0,Bangalore,Working Professional,,4.0,1.0,5-6 hours,Healthy,Class 12,Yes,8.0,3.0,Yes,1
Female,47.0,Surat,Working Professional,Digital Marketer,2.0,5.0,7-8 hours,Healthy,M.Com,No,0.0,3.0,Yes,0
Male,57.0,Mumbai,Working Professional,Entrepreneur,2.0,1.0,Less than 5 hours,Moderate,BBA,Yes,10.0,1.0,No,0
Male,33.0,Indore,Student,,,,Less than 5 hours,Moderate,M.Pharm,No,8.0,3.0,Yes,0
Male,38.0,Srinagar,Working Professional,Teacher,1.0,4.0,7-8 hours,Healthy,B.Sc,Yes,11.0,3.0,No,0
Male,35.0,Visakhapatnam,Working Professional,Architect,5.0,1.0,5-6 hours,Moderate,B.Arch,Yes,9.0,4.0,No,0
Female,41.0,Chennai,Working Professional,Business Analyst,3.0,4.0,More than 8 hours,Unhealthy,MCA,Yes,10.0,2.0,Yes,0
Female,56.0,Faridabad,Working Professional,Pharmacist,4.0,3.0,7-8 hours,Moderate,M.Pharm,Yes,6.0,4.0,Yes,0
